datetime,1 Courthouse Lane,107 Quay Street,150 K Road,183 K Road,19 Shortland Street,2 High Street,205 Queen Street,210 Queen Street,261 Queen Street,297 Queen Street,30 Queen Street,45 Queen Street,59 High Street,61 Federal Street,7 Custom Street East,8 Darby Street (EW),8 Darby Street (NS),Commerce Street West,Te Ara Tahuhu Walkway
2017-01-01 00:00:00,245.0,1818.0,428.0,678.0,474.0,362.0,2301.0,3907.0,2795.0,2810.0,0.0,2810.0,1041.0,474.0,0.0,843.0,1051.0,738.0,1010.0
2017-01-01 01:00:00,111.0,1088.0,470.0,588.0,250.0,142.0,1548.0,2655.0,1556.0,1407.0,0.0,1740.0,503.0,146.0,0.0,748.0,894.0,431.0,367.0
2017-01-01 02:00:00,66.0,754.0,411.0,490.0,167.0,88.0,839.0,1642.0,869.0,721.0,0.0,916.0,252.0,86.0,0.0,648.0,672.0,303.0,123.0
2017-01-01 03:00:00,53.0,391.0,389.0,322.0,182.0,98.0,368.0,902.0,559.0,439.0,0.0,509.0,160.0,40.0,0.0,510.0,558.0,139.0,90.0
2017-01-01 04:00:00,48.0,212.0,133.0,219.0,71.0,33.0,326.0,671.0,367.0,290.0,0.0,318.0,97.0,36.0,0.0,240.0,273.0,125.0,60.0
2017-01-01 05:00:00,2.0,55.0,25.0,91.0,17.0,15.0,117.0,245.0,134.0,116.0,0.0,112.0,33.0,20.0,0.0,48.0,66.0,38.0,32.0
2017-01-01 06:00:00,4.0,63.0,26.0,49.0,6.0,9.0,72.0,147.0,113.0,131.0,0.0,93.0,23.0,15.0,0.0,41.0,29.0,39.0,49.0
2017-01-01 07:00:00,2.0,131.0,28.0,77.0,12.0,19.0,88.0,149.0,125.0,132.0,0.0,173.0,19.0,14.0,0.0,23.0,27.0,27.0,58.0
2017-01-01 08:00:00,16.0,261.0,23.0,113.0,46.0,29.0,88.0,218.0,168.0,170.0,0.0,198.0,20.0,13.0,0.0,22.0,42.0,48.0,85.0
2017-01-01 09:00:00,13.0,465.0,46.0,138.0,70.0,40.0,144.0,421.0,289.0,330.0,0.0,459.0,44.0,19.0,0.0,35.0,55.0,111.0,137.0
2017-01-01 10:00:00,26.0,636.0,100.0,226.0,106.0,76.0,271.0,647.0,473.0,524.0,0.0,647.0,112.0,24.0,0.0,56.0,98.0,159.0,248.0
2017-01-01 11:00:00,23.0,850.0,122.0,231.0,99.0,84.0,385.0,996.0,460.0,653.0,0.0,940.0,146.0,42.0,0.0,79.0,155.0,187.0,363.0
2017-01-01 12:00:00,36.0,975.0,162.0,277.0,119.0,98.0,436.0,1075.0,634.0,814.0,0.0,968.0,243.0,84.0,0.0,97.0,215.0,240.0,433.0
2017-01-01 13:00:00,49.0,934.0,187.0,297.0,101.0,99.0,477.0,1332.0,791.0,702.0,0.0,1116.0,319.0,58.0,0.0,134.0,264.0,213.0,284.0
2017-01-01 14:00:00,51.0,988.0,163.0,286.0,141.0,119.0,597.0,1590.0,918.0,868.0,0.0,1243.0,277.0,45.0,0.0,172.0,324.0,284.0,319.0
2017-01-01 15:00:00,45.0,991.0,143.0,276.0,121.0,97.0,518.0,1672.0,960.0,884.0,0.0,1279.0,343.0,44.0,0.0,139.0,314.0,234.0,328.0
2017-01-01 16:00:00,36.0,1129.0,152.0,313.0,175.0,100.0,510.0,1450.0,828.0,717.0,0.0,1415.0,299.0,66.0,0.0,138.0,274.0,206.0,274.0
2017-01-01 17:00:00,52.0,1021.0,132.0,249.0,118.0,139.0,529.0,1399.0,1087.0,842.0,0.0,1125.0,225.0,95.0,0.0,130.0,230.0,210.0,209.0
2017-01-01 18:00:00,33.0,853.0,122.0,251.0,115.0,100.0,457.0,1147.0,1159.0,914.0,0.0,973.0,277.0,45.0,0.0,125.0,243.0,179.0,168.0
2017-01-01 19:00:00,30.0,990.0,159.0,272.0,124.0,98.0,495.0,913.0,876.0,921.0,0.0,755.0,229.0,41.0,0.0,129.0,263.0,136.0,189.0
2017-01-01 20:00:00,34.0,701.0,172.0,294.0,102.0,96.0,483.0,797.0,914.0,999.0,0.0,823.0,176.0,97.0,0.0,162.0,257.0,174.0,208.0
2017-01-01 21:00:00,28.0,501.0,83.0,235.0,50.0,58.0,439.0,746.0,646.0,677.0,0.0,530.0,158.0,55.0,0.0,139.0,219.0,104.0,166.0
2017-01-01 22:00:00,12.0,270.0,43.0,213.0,44.0,38.0,364.0,525.0,472.0,388.0,0.0,290.0,81.0,46.0,0.0,107.0,158.0,88.0,114.0
2017-01-01 23:00:00,14.0,160.0,36.0,92.0,29.0,29.0,140.0,334.0,265.0,247.0,0.0,212.0,78.0,30.0,0.0,81.0,107.0,36.0,40.0
2017-01-02 00:00:00,10.0,47.0,53.0,49.0,13.0,31.0,105.0,156.0,87.0,85.0,0.0,70.0,60.0,28.0,0.0,36.0,45.0,11.0,10.0
2017-01-02 01:00:00,3.0,17.0,28.0,31.0,5.0,3.0,58.0,64.0,44.0,55.0,0.0,18.0,13.0,13.0,0.0,19.0,7.0,5.0,5.0
2017-01-02 02:00:00,1.0,1.0,8.0,26.0,3.0,9.0,29.0,37.0,22.0,21.0,0.0,11.0,11.0,6.0,0.0,30.0,15.0,8.0,4.0
2017-01-02 03:00:00,1.0,0.0,12.0,23.0,2.0,0.0,8.0,17.0,27.0,11.0,0.0,6.0,7.0,14.0,0.0,8.0,7.0,3.0,4.0
2017-01-02 04:00:00,1.0,6.0,5.0,15.0,2.0,4.0,19.0,20.0,15.0,12.0,0.0,3.0,4.0,7.0,0.0,3.0,7.0,7.0,8.0
2017-01-02 05:00:00,2.0,1.0,10.0,16.0,5.0,7.0,18.0,21.0,21.0,26.0,0.0,16.0,6.0,6.0,0.0,3.0,4.0,5.0,10.0
