,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Friday, 25 January 2019",7,411,298,362,416,133,,38,655,541,105,,89,50,196,535,343,,405,18,720,371,,886,1052,808,200,279,59,1642,1561,13,49,254,36,227,356,1544,187,985,154,152,281,157,263
"Saturday, 26 January 2019",8,281,110,335,186,157,,49,269,313,59,,79,36,73,327,349,,439,46,332,564,,310,626,865,255,451,58,1263,1175,19,25,177,17,235,194,1467,124,1016,233,361,103,110,230
"Sunday, 27 January 2019",20,268,94,358,165,115,,46,275,304,33,,76,7,68,295,332,,380,103,386,518,,341,575,869,315,549,44,1296,1314,12,27,141,21,253,173,1503,153,1047,157,333,137,93,330
"Monday, 28 January 2019",29,264,102,319,179,130,,23,203,295,27,,62,15,75,260,256,,350,61,369,458,,399,671,736,218,539,30,1199,1229,22,29,135,26,259,158,1481,121,970,288,277,98,88,343
"Tuesday, 29 January 2019",58,467,376,381,441,145,,48,752,603,137,,106,64,238,631,431,,489,10,777,403,,985,1419,985,164,302,61,1844,1702,13,44,304,37,276,493,1806,223,903,155,167,329,173,291
"Wednesday, 30 January 2019",25,489,400,379,529,143,,60,844,654,89,,99,69,277,660,429,,552,8,833,451,,1012,1479,995,212,315,52,1768,1639,11,39,335,61,273,481,1851,256,872,168,211,343,208,285
"Thursday, 31 January 2019",20,496,419,424,492,143,,49,800,637,83,,130,69,288,664,361,,562,11,821,443,,1033,536,937,180,378,59,1832,1651,6,60,323,48,284,442,1935,247,965,98,183,314,73,296
"Friday, 1 February 2019",13,415,365,370,476,130,,32,746,563,87,,119,64,269,658,359,,411,8,892,378,,997,867,1003,209,356,65,1488,1714,15,64,280,36,260,464,1673,292,940,155,198,309,190,299
"Saturday, 2 February 2019",31,180,129,357,160,160,,45,301,330,44,,68,37,80,340,400,,500,56,336,743,,290,646,884,264,478,57,1079,912,13,51,165,39,208,187,1500,155,891,210,396,113,101,257
"Sunday, 3 February 2019",43,336,106,462,172,163,,81,299,439,54,,98,16,82,308,440,,429,26,538,730,,398,679,1021,191,592,66,1177,1007,8,39,194,36,301,193,1755,214,1037,268,438,103,131,366
"Monday, 4 February 2019",28,487,388,333,552,125,,50,764,651,97,,117,60,266,609,404,,406,11,1071,448,,1130,906,1106,196,380,72,1530,1676,13,64,306,48,254,483,1743,295,855,265,129,329,168,333
"Tuesday, 5 February 2019",25,474,393,368,533,160,,55,827,660,98,,106,70,244,704,411,,545,16,1062,433,,1143,1294,1145,223,384,66,1623,1775,11,61,328,31,242,534,1963,305,853,162,213,340,175,327
"Wednesday, 6 February 2019",28,373,152,581,243,183,,57,346,435,43,,81,24,54,392,558,,510,48,656,765,,534,1274,1050,230,659,70,1643,1399,13,39,213,45,345,185,2033,174,1264,357,487,128,114,404
"Thursday, 7 February 2019",4,442,394,351,520,152,,62,741,608,98,,102,59,243,621,357,,479,10,917,386,,1056,864,947,192,218,64,1405,1602,6,48,313,41,255,446,1652,255,776,76,148,341,142,297
